path	sha256	structural_check	lines	semantic_scope
.github/workflows/publish.yml	be0488b3b88e68e1cfbfaf04b88eb0ab591b427fd92ba4dbcec37271cc3ef87b	bytes hashed	85	selected source inspected
.gitignore	9bc3f6c1a3e84590a80caa78f7a9cb003a51a7476c081f21a7dfc738c7816d05	bytes hashed	103	structural inventory only
.python-version	8dfda54ba2f66ab3a8ebab460f4338bbeea1fb1e0f85ce06fe3530aa3c64679b	bytes hashed	1	structural inventory only
.reference/AssemblyCalculus.jl.README	dd62cc030554035467d6d87a6fa1743cf3b0b838b506c2b63c7d57445388bf42	bytes hashed	13	structural inventory only
.reference/README.md	015e91f6bfd5a9ab37aa091c2dad3e2a14549afb7f5cee0f91543b7749a63ce8	bytes hashed	73	structural inventory only
CITATION.cff	ecf7ea3f2199defe22b379eab6b45a48c107ca4149a9afc02106294dd138d588	bytes hashed	83	structural inventory only
LICENSE	640725c2158217868bb99cd9feabae3f068afd3307f79afef9fa7bab67124c61	bytes hashed	22	structural inventory only
MANIFEST.in	272d6c03418c86e2b50329196245ebd065de8f4360877aaf33e16c0447750c81	bytes hashed	13	structural inventory only
README.md	d1844625e14852df92f5f6e43fbd521780cad46d11ee6244b41d0f95fd1bebf6	bytes hashed	330	structural inventory only
cpp/README.md	9865eb7724f6902cae998d97ddf3e92248dd4f3af86dc3471b61696db799107c	bytes hashed	60	structural inventory only
cpp/build_scripts/README_BUILD.md	1bb56d89d70bea48b457ee9683ffdd61915776bfb54810cc536b5c9d595730ff	bytes hashed	179	structural inventory only
cpp/build_scripts/build.bat	5013f17bb9bd3da6dbdfc93d7c4be3f623f270e4082a73035570328ec7c55fc3	bytes hashed	549	structural inventory only
cpp/build_scripts/build.env.example	6e3165a751ea3e162bf2589fff03960ed6c0f16e790adc4c053caa97e7f79303	bytes hashed	74	structural inventory only
cpp/core_cpp/brain.cc	042818c95af511907e6a263e03c9b9543667f45e4b1ec2da30531b69bed115b1	bytes hashed	553	structural inventory only
cpp/core_cpp/brain.h	7e8e318ff352690304063a89a44ad23692bd58ebcc2a79017eaa7828d5a886ee	bytes hashed	107	structural inventory only
cpp/core_cpp/brain_test.cc	1f880f5604b895832cf868e1400c88fc0d356ac5c21a6a1a9bd38a5dc8d8912e	bytes hashed	191	structural inventory only
cpp/core_cpp/brain_util.h	aed47588ae92a57044b4353343347ac282e42464882559310a21a2fe8bb86f92	bytes hashed	26	structural inventory only
cpp/core_cpp/pybind11_wrapper.cpp	6018581dc9abce36476f2ea97554adb2454bbbad19ba4f3960c2b9c87a0422e7	bytes hashed	133	structural inventory only
cpp/cuda_kernels/assemblies_cuda_brain.cu	9ad52c232d32be17e1fb649501a890581125769c4d4f5c46e08cde0cf470e7d5	bytes hashed	343	structural inventory only
cpp/cuda_kernels/assemblies_cuda_brain_optimized.cu	6765d4e8540d05cf5fe606d7c80dbeb0d903810428c55ea6aee2897edf9f21eb	bytes hashed	863	structural inventory only
cpp/cuda_kernels/assemblies_cuda_kernels.cu	ec98e7800d5f58302fcee15186acf52aa640602815431850b1248788e2d9ef52	bytes hashed	281	structural inventory only
cpp/cuda_kernels/assemblies_cuda_kernels_optimized.cu	f862cfed0af06fc7eee42606b984908d2f27ff8f63a704b1b16173387f25baee	bytes hashed	452	structural inventory only
cpp/cuda_kernels/assemblies_cuda_memory.cu	6da6e16315d7d73614462a36974b9e4597a786ad26a3d5ec097d07215b887a66	bytes hashed	222	structural inventory only
cpp/cuda_kernels/assemblies_cuda_memory_optimized.cu	7b717cbd823b4870880f528924af2d7db77cd01cd306669bd8c583295f401cb4	bytes hashed	495	structural inventory only
cpp/cuda_kernels/assemblies_cuda_optimized.h	0d2b78b02072439d2b8217040c5d0bcdf6afc4b66cd357fd8eeeca8b10536970	bytes hashed	175	structural inventory only
cpp/cuda_kernels/assemblies_cuda_wrapper.cu	0e35195f2bbeda3c9752a2610e8cff898cc392f8f8b9582ac62379564ce54724	bytes hashed	172	structural inventory only
cpp/cuda_kernels/assembly_projection_kernel.cu	871ae9c3b635d821c2280f9b2dbc8ec0cc4047f8d2eeb05b654d3e042c85e28c	bytes hashed	373	structural inventory only
cpp/cuda_kernels/build_all.bat	1850f82c8da8c340d50e52ba01451985d05f044fcacaa759c495477363b0eba0	bytes hashed	102	structural inventory only
cpp/cuda_kernels/build_dense_kernels.bat	c5c788a85584495a795b4747abc6bd43a807dfcf7ed5fbfe1849f641fe88505e	bytes hashed	21	structural inventory only
cpp/cuda_kernels/build_nemo_kernels.bat	742a67f4345e49c08955d828ff3cf333d60089bf0e6a89051e42ced43dbc91c1	bytes hashed	53	structural inventory only
cpp/cuda_kernels/build_projection_kernel.bat	0d869205e6b1542004a0cc13cd56966ee291e92991f768dd47a9ed804cd386ca	bytes hashed	18	structural inventory only
cpp/cuda_kernels/cuda_brain.h	c6709e05d0caba75029bb1e7da4c145dd66f14317485126ea344e6a849eec8da	bytes hashed	188	structural inventory only
cpp/cuda_kernels/cuda_kernels.cu	f612705bfb707a9097dd4902661aa214098af4cc3192c2a9932a035087f1c61a	bytes hashed	204	structural inventory only
cpp/cuda_kernels/dense_assembly_kernels.cu	afad79d8509c201c62859cc6234be2e6e861896c9301ee032f8c48377548bdb5	bytes hashed	408	structural inventory only
cpp/cuda_kernels/nemo_implicit_kernels.cu	ce932a80bacb2368e05b55d54d493428adee047b2fdab6d495fcd2b2efca7ab6	bytes hashed	536	structural inventory only
cpp/cuda_kernels/simple_cuda_brain.cu	d7177df25e8f775277d161edb8b53e728f5c3f8c6be6f7efe4534362aaf3c05a	bytes hashed	130	selected source inspected
cpp/cuda_kernels/sparse_assembly_kernels.cu	c2a628c9fe2e63ef8dd495a61bca451102b9dcf4ecbd3d34ddbf7882bc045f11	bytes hashed	437	structural inventory only
cpp/cuda_kernels/sparse_assembly_kernels_v2.cu	c199bfb46b1ea5943ef77faa5da7534f01e110a291ceb1e64759c70f5af0ae30	bytes hashed	309	structural inventory only
cpp/cuda_kernels/tests/README.md	002a369feaf0c3d29e2bc228c5fb556e6084b4599a383100a4ef5688409c4a13	bytes hashed	154	structural inventory only
cpp/cuda_kernels/tests/algorithmic_improvements_test_20250923_113504.json	1e591f1d977df0b87ef568409d9acb57b2af10789e50f5421d03e4bd8b281c97	bytes hashed	179	structural inventory only
cpp/cuda_kernels/tests/build_tests.bat	2fcc59e65791cb0efd548bc5458adf52ced64bd857642b69375e5a4e1ba9290c	bytes hashed	151	structural inventory only
cpp/cuda_kernels/tests/build_tests_simple.bat	0454b171c4193d836ff04508ed9f839f915944892a59cc5ce57c53e90d145f3f	bytes hashed	83	structural inventory only
cpp/cuda_kernels/tests/run_tests.bat	89bec8a4acce9c17a4c077185464fdb89ea363359672c7600830bade97929e20	bytes hashed	176	structural inventory only
cpp/cuda_kernels/tests/test_algorithmic_improvements.py	4f2cda6339cc2b7bf8d14196d685774c52b2776c2c8829b50003fe5b0c98de9c	Python AST parsed	360	structural inventory only
cpp/cuda_kernels/tests/test_benchmark_suite.cu	251f0ed3a3633a7df105bdcca7011a5fd6473d3f7179ec7254a7987e459db119	bytes hashed	383	structural inventory only
cpp/cuda_kernels/tests/test_consolidated_kernels.cu	2362bc6e9b6a6f0ebf380f9ec1ae616919efab9d31c6af9abf3bd5e767214040	bytes hashed	500	structural inventory only
cpp/cuda_kernels/tests/test_memory_coalescing.cu	960cd1025831c51634ca09b0d41c3f9d6cf9a1b64d283d4fec4acda191137c81	bytes hashed	395	structural inventory only
cpp/cuda_kernels/tests/test_radix_selection.cu	f15948996da1f5d4119d6f07d952903300cb4e940f2ed7447976a486edb2b501	bytes hashed	417	structural inventory only
cpp/cuda_kernels/tests/test_warp_reduction.cu	d4f1449466625181eb4d3deb446e7fb37c07f3b43b23a9c8325c8989cbaf2988	bytes hashed	398	structural inventory only
cpp/documentation/assembly_calculus_implications_summary.md	24f5ca8a728936ffc4d13b6f2bb6c53611d13172cab682fc41373cefb7854898	bytes hashed	213	structural inventory only
cpp/documentation/gpu_acceleration_analysis.md	cd304c786714bb089fcb05288c2cd3cbfbb9585989692d08683289daeab0fbb3	bytes hashed	219	structural inventory only
cpp/documentation/key_papers_draft.md	7346a12430e96cebb066eab642b568fb7ad902fcc2f52c06523a9cca29fbc5ed	bytes hashed	226	structural inventory only
cpp/documentation/paper_ecosystem_draft.md	9b42b2a3268895d9027f00aeeebd6cb595e589b0e3bf54bd26b2acabb2d7157c	bytes hashed	290	structural inventory only
cpp/documentation/research_questions_detailed.md	39f317fa58144d680c5117adf1886d41f9d43ee9fd98759958ef331c7209430f	bytes hashed	229	structural inventory only
cpp/documentation/research_roadmap_scientific.md	79c8936fcf15d9f5c78eee4276276d7ec75c350393afe284175f63f36cd890f9	bytes hashed	344	structural inventory only
cpp/documentation/scientific_critique_and_reframe.md	68afde44c14699512fa7d1e5f727bd877be4e879a77a506ce97d9f55f2735adf	bytes hashed	264	structural inventory only
cpp/python_implementations/README_ORGANIZATION.md	6cdf0a793675c40856f31b07b2cea6b773f8a4ebfa606ff793759a76567aa63c	bytes hashed	192	structural inventory only
cpp/python_implementations/analysis_tools/assembly_calculus_implications.py	3d5d2da7569d7af7560d1001c08c92dc4b2b7572915e36b1e753e4b860079b3a	Python AST parsed	403	structural inventory only
cpp/python_implementations/analysis_tools/comprehensive_dynamics_analyzer.py	a1979c44cd859918af4b97e603b52435f3c695a97dffccc49216a7a174c24378	Python AST parsed	367	structural inventory only
cpp/python_implementations/analysis_tools/fixed_hodgkin_huxley_analyzer.py	cb8496a76ed6e5745abcff8cb58adfdc39739ec174b038f0f08a168b415ec5af	Python AST parsed	415	structural inventory only
cpp/python_implementations/analysis_tools/realistic_brain_simulation.py	59853da5647c768f8e01cfd83efa796a575ce99e534da4450acdb831e176c6c8	Python AST parsed	297	structural inventory only
cpp/python_implementations/analysis_tools/simple_working_hh_analyzer.py	f81b238984e6aa9a6481ce1fcf93d480d59c3ec403c749e13dcbca0d7a8d90d5	Python AST parsed	378	structural inventory only
cpp/python_implementations/analysis_tools/ultra_granular_timestep_analyzer.py	9c3e26fa1d3a89f6e125c191427c49fd4a086c4a4751e0553f03930a15ed6243	Python AST parsed	332	structural inventory only
cpp/python_implementations/analysis_tools/ultra_realistic_purkinje_brain.py	36e8024803a059b1d3f70fb1d6d4b21895f82e464f9079eed58519da6013bacb	Python AST parsed	368	structural inventory only
cpp/python_implementations/analysis_tools/universal_analysis_suite.py	3943c3be5fe1d4ddb3b1e91cc640cb97576febbadedf9c31e192f7cc406988e6	Python AST parsed	605	structural inventory only
