n,k,p,kp,beta,rounds,seeds,area,n_items,m_max,alpha,acc,lo,hi,chance,diag,offdiag,distinct_frac,spread,floor,nondet,collapsed
1000,50,0.2,10,0.071773,10,42|43|44,ROLE_AGENT,16,23.0,0.6957,1.000000,0.925897,1.000000,0.062500,1.000000,0.090000,1.000000,0.090000,0.050000,0,0
1000,50,0.2,10,0.071773,10,42|43|44,ROLE_ACTION,20,23.0,0.8696,1.000000,0.939826,1.000000,0.050000,0.997667,0.102842,1.000000,0.101754,0.050000,0,0
1000,50,0.2,10,0.071773,10,42|43|44,ROLE_PATIENT,40,23.0,1.7391,1.000000,0.968980,1.000000,0.025000,0.942333,0.248094,1.000000,0.221068,0.050000,0,3
1000,50,0.2,10,0.071773,10,42|43|44,LEX_NOUN,40,23.0,1.7391,nan,nan,nan,nan,nan,nan,1.000000,0.049470,0.050000,0,0
1000,50,0.2,10,0.071773,10,42|43|44,LEX_VERB,20,23.0,0.8696,nan,nan,nan,nan,nan,nan,1.000000,0.046105,0.050000,0,0
1000,100,0.1,10,0.071773,10,42|43|44,ROLE_AGENT,16,11.5,1.3913,1.000000,0.925897,1.000000,0.062500,0.962708,0.373264,1.000000,0.351361,0.100000,0,3
1000,100,0.1,10,0.071773,10,42|43|44,ROLE_ACTION,20,11.5,1.7391,1.000000,0.939826,1.000000,0.050000,0.919167,0.455105,1.000000,0.404789,0.100000,0,3
1000,100,0.1,10,0.071773,10,42|43|44,ROLE_PATIENT,40,11.5,3.4783,0.625000,0.535768,0.706477,0.025000,0.849917,0.702043,1.000000,0.603372,0.100000,0,3
1000,100,0.1,10,0.071773,10,42|43|44,LEX_NOUN,40,11.5,3.4783,nan,nan,nan,nan,nan,nan,1.000000,0.100321,0.100000,0,0
1000,100,0.1,10,0.071773,10,42|43|44,LEX_VERB,20,11.5,1.7391,nan,nan,nan,nan,nan,nan,1.000000,0.098193,0.100000,0,0
1000,200,0.05,10,0.071773,10,42|43|44,ROLE_AGENT,16,5.8,2.7826,0.666667,0.525398,0.783234,0.062500,0.901042,0.801799,1.000000,0.725889,0.200000,0,3
1000,200,0.05,10,0.071773,10,42|43|44,ROLE_ACTION,20,5.8,3.4783,0.633333,0.506828,0.743793,0.050000,0.913417,0.840285,1.000000,0.775702,0.200000,0,3
1000,200,0.05,10,0.071773,10,42|43|44,ROLE_PATIENT,40,5.8,6.9565,0.675000,0.586900,0.752243,0.025000,0.922417,0.866520,1.000000,0.823534,0.200000,0,3
1000,200,0.05,10,0.071773,10,42|43|44,LEX_NOUN,40,5.8,6.9565,nan,nan,nan,nan,nan,nan,1.000000,0.199959,0.200000,0,0
1000,200,0.05,10,0.071773,10,42|43|44,LEX_VERB,20,5.8,3.4783,nan,nan,nan,nan,nan,nan,1.000000,0.200965,0.200000,0,0
1000,400,0.025,10,0.071773,10,42|43|44,ROLE_AGENT,16,2.9,5.5652,0.604167,0.463102,0.729794,0.062500,0.972760,0.963274,1.000000,0.941757,0.400000,0,0
1000,400,0.025,10,0.071773,10,42|43|44,ROLE_ACTION,20,2.9,6.9565,0.650000,0.523624,0.758324,0.050000,0.976125,0.965776,1.000000,0.948724,0.400000,0,0
1000,400,0.025,10,0.071773,10,42|43|44,ROLE_PATIENT,40,2.9,13.9130,0.800000,0.719632,0.861756,0.025000,0.987354,0.977213,1.000000,0.968238,0.400000,0,0
1000,400,0.025,10,0.071773,10,42|43|44,LEX_NOUN,40,2.9,13.9130,nan,nan,nan,nan,nan,nan,1.000000,0.400674,0.400000,0,0
1000,400,0.025,10,0.071773,10,42|43|44,LEX_VERB,20,2.9,6.9565,nan,nan,nan,nan,nan,nan,1.000000,0.400961,0.400000,0,0
10000,100,0.1,10,0.071773,10,42|43|44,ROLE_AGENT,16,115.0,0.1391,1.000000,0.925897,1.000000,0.062500,1.000000,0.007028,1.000000,0.007028,0.010000,0,0
10000,100,0.1,10,0.071773,10,42|43|44,ROLE_ACTION,20,115.0,0.1739,1.000000,0.939826,1.000000,0.050000,1.000000,0.007351,1.000000,0.007351,0.010000,0,0
10000,100,0.1,10,0.071773,10,42|43|44,ROLE_PATIENT,40,115.0,0.3478,1.000000,0.968980,1.000000,0.025000,1.000000,0.008577,1.000000,0.008577,0.010000,0,0
10000,100,0.1,10,0.071773,10,42|43|44,LEX_NOUN,40,115.0,0.3478,nan,nan,nan,nan,nan,nan,1.000000,0.007876,0.010000,0,0
10000,100,0.1,10,0.071773,10,42|43|44,LEX_VERB,20,115.0,0.1739,nan,nan,nan,nan,nan,nan,1.000000,0.006702,0.010000,0,0
