cut,reset,n,k,p,rounds,beta,g_step,g_eff,area,kind,n_items,seed,distinct_frac,spread,floor,collapsed
bridge,0,10000,100,0.1,10,0.07500,2.06103,8.75496,LEX_NOUN,lexicon,3,42,1.000000,0.010000,0.010000,0
bridge,0,10000,100,0.1,10,0.07500,2.06103,8.75496,LEX_VERB,lexicon,3,42,1.000000,0.006667,0.010000,0
bridge,0,10000,100,0.1,10,0.07500,2.06103,8.75496,ROLE_AGENT,role,3,42,0.333333,1.000000,0.010000,1
bridge,0,10000,100,0.1,10,0.07500,2.06103,8.75496,ROLE_ACTION,role,3,42,0.333333,1.000000,0.010000,1
bridge,0,10000,100,0.1,10,0.07500,2.06103,8.75496,ROLE_PATIENT,role,3,42,0.333333,1.000000,0.010000,1
bridge,0,10000,100,0.1,10,0.07500,2.06103,8.75496,LEX_NOUN,lexicon,3,43,1.000000,0.006667,0.010000,0
bridge,0,10000,100,0.1,10,0.07500,2.06103,8.75496,LEX_VERB,lexicon,3,43,1.000000,0.003333,0.010000,0
bridge,0,10000,100,0.1,10,0.07500,2.06103,8.75496,ROLE_AGENT,role,3,43,0.333333,1.000000,0.010000,1
bridge,0,10000,100,0.1,10,0.07500,2.06103,8.75496,ROLE_ACTION,role,3,43,0.333333,1.000000,0.010000,1
bridge,0,10000,100,0.1,10,0.07500,2.06103,8.75496,ROLE_PATIENT,role,3,43,0.333333,1.000000,0.010000,1
bridge,0,10000,100,0.1,10,0.07500,2.06103,8.75496,LEX_NOUN,lexicon,3,44,1.000000,0.006667,0.010000,0
bridge,0,10000,100,0.1,10,0.07500,2.06103,8.75496,LEX_VERB,lexicon,3,44,1.000000,0.003333,0.010000,0
bridge,0,10000,100,0.1,10,0.07500,2.06103,8.75496,ROLE_AGENT,role,3,44,0.333333,1.000000,0.010000,1
bridge,0,10000,100,0.1,10,0.07500,2.06103,8.75496,ROLE_ACTION,role,3,44,0.333333,1.000000,0.010000,1
bridge,0,10000,100,0.1,10,0.07500,2.06103,8.75496,ROLE_PATIENT,role,3,44,0.333333,1.000000,0.010000,1
bridge_ff,1,10000,100,0.1,10,0.07500,2.06103,8.75496,LEX_NOUN,lexicon,3,42,1.000000,0.010000,0.010000,0
bridge_ff,1,10000,100,0.1,10,0.07500,2.06103,8.75496,LEX_VERB,lexicon,3,42,1.000000,0.006667,0.010000,0
bridge_ff,1,10000,100,0.1,10,0.07500,2.06103,8.75496,ROLE_AGENT,role,3,42,1.000000,0.006667,0.010000,0
