mode,n,k,p,kp,M,gain,depth,acc,margin
n,2000,50,0.05,2.5,16,1.69,5,1.000000,5.817468
n,2000,50,0.05,2.5,32,1.69,5,0.937500,2.964063
n,2000,50,0.05,2.5,64,1.69,5,0.031250,1.001435
n,2000,50,0.05,2.5,128,1.69,5,0.007812,1.001116
n,4000,50,0.05,2.5,32,1.69,5,1.000000,10.235938
n,4000,50,0.05,2.5,64,1.69,5,1.000000,6.532794
n,4000,50,0.05,2.5,128,1.69,5,0.031250,1.016093
n,4000,50,0.05,2.5,256,1.69,5,0.011719,1.005074
n,8000,50,0.05,2.5,64,1.69,5,1.000000,14.954371
n,8000,50,0.05,2.5,128,1.69,5,1.000000,9.653060
n,8000,50,0.05,2.5,256,1.69,5,0.919922,3.520330
n,8000,50,0.05,2.5,512,1.69,5,0.027344,1.017545
