mode,n,k,p,kp,M,gain,depth,acc,margin
k,4000,25,0.05000,1.250,16,1.69,5,1.000000,6.589063
k,4000,25,0.05000,1.250,32,1.69,5,0.953125,3.897135
k,4000,25,0.05000,1.250,64,1.69,5,0.742188,2.722656
k,4000,25,0.05000,1.250,128,1.69,5,0.605469,2.020182
k,4000,25,0.05000,1.250,256,1.69,5,0.091797,1.228972
k,4000,25,0.10000,2.500,16,1.69,5,1.000000,17.360119
k,4000,25,0.10000,2.500,32,1.69,5,1.000000,17.640625
k,4000,25,0.10000,2.500,64,1.69,5,1.000000,11.461589
k,4000,25,0.10000,2.500,128,1.69,5,0.988281,6.730143
k,4000,25,0.10000,2.500,256,1.69,5,0.888672,3.666341
k,4000,50,0.05000,2.500,16,1.69,5,1.000000,15.097396
k,4000,50,0.05000,2.500,32,1.69,5,1.000000,10.235938
k,4000,50,0.05000,2.500,64,1.69,5,1.000000,6.532794
k,4000,50,0.05000,2.500,128,1.69,5,0.031250,1.016093
k,4000,50,0.05000,2.500,256,1.69,5,0.011719,1.005074
k,4000,50,0.05000,2.500,16,1.69,5,1.000000,15.097396
k,4000,50,0.05000,2.500,32,1.69,5,1.000000,10.235938
k,4000,50,0.05000,2.500,64,1.69,5,1.000000,6.532794
k,4000,50,0.05000,2.500,128,1.69,5,0.031250,1.016093
k,4000,50,0.05000,2.500,256,1.69,5,0.011719,1.005074
k,4000,100,0.05000,5.000,16,1.69,5,1.000000,14.409325
k,4000,100,0.05000,5.000,32,1.69,5,0.640625,1.778973
k,4000,100,0.05000,5.000,64,1.69,5,0.015625,1.000000
k,4000,100,0.05000,5.000,128,1.69,5,0.007812,1.000000
k,4000,100,0.05000,5.000,256,1.69,5,0.003906,1.000000
k,4000,100,0.02500,2.500,16,1.69,5,1.000000,8.136942
k,4000,100,0.02500,2.500,32,1.69,5,0.984375,2.158213
k,4000,100,0.02500,2.500,64,1.69,5,0.054688,1.004637
k,4000,100,0.02500,2.500,128,1.69,5,0.027344,1.002768
k,4000,100,0.02500,2.500,256,1.69,5,0.001953,1.000849
