  COMPLEXITY LADDER  k=50 beta=0.1 p=0.05, feed-forward lexicon, gated merge T=2
  one SHARED area per level; margin = best/second-best stored match; floor = k/n
  full_D = accuracy at the DEEPEST level; a cell passes when full_D > 0.90

        n     M  D   load   chance   full_1   full_D  marg_1  marg_D   spr_1   spr_D  trials  verdict
     1000    64  3    3.2  0.01562   1.0000   0.7292    4.41    1.52  0.0561  0.0599     192  MARGINAL
     1000   128  3    6.4  0.00781   1.0000   0.0365    3.34    1.02  0.0663  0.1398     384  FAIL
     1000   256  3   12.8  0.00391   0.9388   0.0052    1.44    1.00  0.1199  0.4230     768  FAIL
     4000    64  3    0.8  0.01562   1.0000   0.9896   12.55    4.81  0.0111  0.0114     192  PASS
     4000   256  3    3.2  0.00391   1.0000   0.5260    7.84    1.68  0.0143  0.0142     768  MARGINAL
     4000   512  3    6.4  0.00195   1.0000   0.3076    6.68    1.30  0.0143  0.0145    1024  FAIL
     1000    64  5    3.2  0.01562   1.0000   0.0938    4.34    1.17  0.0560  0.0625     192  FAIL
     1000   128  5    6.4  0.00781   1.0000   0.0078    3.46    1.00  0.0666  0.2200     384  FAIL
     4000   256  5    3.2  0.00391   1.0000   0.0182    7.89    1.16  0.0142  0.0143     768  FAIL
     4000   512  5    6.4  0.00195   1.0000   0.0039    6.75    1.13  0.0142  0.0146    1024  FAIL
     4000   256  7    3.2  0.00391   1.0000   0.0065    7.84    1.16  0.0141  0.0145     768  FAIL
     4000   512  7    6.4  0.00195   1.0000   0.0000    6.70    1.13  0.0143  0.0145    1024  FAIL
    10000   512  3    2.6  0.00195   1.0000   0.3682   10.54    1.54  0.0059  0.0059    1024  FAIL
    10000  1024  3    5.1  0.00098   1.0000   0.1709    8.77    1.27  0.0057  0.0057    2048  FAIL
    10000   512  5    2.6  0.00195   1.0000   0.0059   10.54    1.17  0.0059  0.0059    1024  FAIL
    10000  1024  5    5.1  0.00098   1.0000   0.0020    8.81    1.13  0.0057  0.0057    2048  FAIL
    10000  1024  7    5.1  0.00098   1.0000   0.0005    8.82    1.14  0.0057  0.0057    2048  FAIL
    10000  2048  3   10.2  0.00049   1.0000   0.0833    7.88    1.16  0.0055  0.0055    4096  FAIL
