n,k,p,M,alpha,T,beta,gain,depth,level,seed,acc,margin,spread,floor,Q
2000,50,0.05,64,1.6,2,0.224745,1.5000,5,1,42,1.000000,7.291493,0.033333,0.025000,0.008547
2000,50,0.05,64,1.6,2,0.224745,1.5000,5,2,42,1.000000,4.869965,0.039772,0.025000,0.015151
2000,50,0.05,64,1.6,2,0.224745,1.5000,5,3,42,0.968750,2.129000,0.046429,0.025000,0.021978
2000,50,0.05,64,1.6,2,0.224745,1.5000,5,4,42,0.109375,1.145479,0.060903,0.025000,0.036823
2000,50,0.05,64,1.6,2,0.224745,1.5000,5,5,42,0.015625,1.018556,0.080506,0.025000,0.056929
2000,50,0.05,64,1.6,2,0.224745,1.5000,5,1,43,1.000000,7.668415,0.031865,0.025000,0.007041
2000,50,0.05,64,1.6,2,0.224745,1.5000,5,2,43,1.000000,4.983730,0.037292,0.025000,0.012607
2000,50,0.05,64,1.6,2,0.224745,1.5000,5,3,43,0.984375,2.671943,0.039117,0.025000,0.014479
2000,50,0.05,64,1.6,2,0.224745,1.5000,5,4,43,0.640625,1.562636,0.042073,0.025000,0.017511
2000,50,0.05,64,1.6,2,0.224745,1.5000,5,5,43,0.078125,1.089251,0.052946,0.025000,0.028663
2000,50,0.05,64,1.6,2,0.224745,1.5000,5,1,44,1.000000,7.567113,0.032371,0.025000,0.007560
2000,50,0.05,64,1.6,2,0.224745,1.5000,5,2,44,1.000000,4.696143,0.038730,0.025000,0.014082
2000,50,0.05,64,1.6,2,0.224745,1.5000,5,3,44,0.875000,1.990762,0.048938,0.025000,0.024552
2000,50,0.05,64,1.6,2,0.224745,1.5000,5,4,44,0.093750,1.142247,0.071726,0.025000,0.047924
2000,50,0.05,64,1.6,2,0.224745,1.5000,5,5,44,0.046875,1.010860,0.100923,0.025000,0.077869
2000,50,0.05,64,1.6,2,0.284523,1.6500,5,1,42,1.000000,7.121453,0.037490,0.025000,0.012810
2000,50,0.05,64,1.6,2,0.284523,1.6500,5,2,42,0.984375,2.491328,0.063343,0.025000,0.039326
2000,50,0.05,64,1.6,2,0.284523,1.6500,5,3,42,0.093750,1.034527,0.138938,0.025000,0.116860
2000,50,0.05,64,1.6,2,0.284523,1.6500,5,4,42,0.078125,1.010924,0.233571,0.025000,0.213919
2000,50,0.05,64,1.6,2,0.284523,1.6500,5,5,42,0.015625,1.000000,0.267014,0.025000,0.248219
2000,50,0.05,64,1.6,2,0.284523,1.6500,5,1,43,1.000000,6.671813,0.039097,0.025000,0.014459
2000,50,0.05,64,1.6,2,0.284523,1.6500,5,2,43,0.953125,2.294641,0.064117,0.025000,0.040120
2000,50,0.05,64,1.6,2,0.284523,1.6500,5,3,43,0.109375,1.039948,0.129841,0.025000,0.107530
2000,50,0.05,64,1.6,2,0.284523,1.6500,5,4,43,0.015625,1.001946,0.199415,0.025000,0.178887
2000,50,0.05,64,1.6,2,0.284523,1.6500,5,5,43,0.015625,1.000000,0.248264,0.025000,0.228989
2000,50,0.05,64,1.6,2,0.284523,1.6500,5,1,44,1.000000,7.091295,0.039762,0.025000,0.015140
2000,50,0.05,64,1.6,2,0.284523,1.6500,5,2,44,0.859375,2.040291,0.068958,0.025000,0.045085
2000,50,0.05,64,1.6,2,0.284523,1.6500,5,3,44,0.093750,1.029994,0.162212,0.025000,0.140731
2000,50,0.05,64,1.6,2,0.284523,1.6500,5,4,44,0.062500,1.007434,0.251567,0.025000,0.232377
2000,50,0.05,64,1.6,2,0.284523,1.6500,5,5,44,0.031250,1.010204,0.329881,0.025000,0.312698
2000,50,0.05,64,1.6,2,0.322876,1.7500,5,1,42,1.000000,6.531901,0.042183,0.025000,0.017623
2000,50,0.05,64,1.6,2,0.322876,1.7500,5,2,42,0.906250,1.666508,0.085972,0.025000,0.062536
2000,50,0.05,64,1.6,2,0.322876,1.7500,5,3,42,0.093750,1.024974,0.208105,0.025000,0.187800
2000,50,0.05,64,1.6,2,0.322876,1.7500,5,4,42,0.046875,1.002930,0.338581,0.025000,0.321622
2000,50,0.05,64,1.6,2,0.322876,1.7500,5,5,42,0.031250,1.005102,0.435863,0.025000,0.421398
2000,50,0.05,64,1.6,2,0.322876,1.7500,5,1,43,1.000000,6.422103,0.044742,0.025000,0.020248
2000,50,0.05,64,1.6,2,0.322876,1.7500,5,2,43,0.796875,1.648500,0.088016,0.025000,0.064632
2000,50,0.05,64,1.6,2,0.322876,1.7500,5,3,43,0.140625,1.018828,0.208026,0.025000,0.187719
2000,50,0.05,64,1.6,2,0.322876,1.7500,5,4,43,0.046875,1.008271,0.313968,0.025000,0.296378
2000,50,0.05,64,1.6,2,0.322876,1.7500,5,5,43,0.015625,1.003528,0.425327,0.025000,0.410592
2000,50,0.05,64,1.6,2,0.322876,1.7500,5,1,44,1.000000,6.278733,0.042649,0.025000,0.018101
2000,50,0.05,64,1.6,2,0.322876,1.7500,5,2,44,0.703125,1.616841,0.090208,0.025000,0.066880
2000,50,0.05,64,1.6,2,0.322876,1.7500,5,3,44,0.140625,1.020818,0.184097,0.025000,0.163177
2000,50,0.05,64,1.6,2,0.322876,1.7500,5,4,44,0.031250,1.004219,0.272946,0.025000,0.254304
2000,50,0.05,64,1.6,2,0.322876,1.7500,5,5,44,0.031250,1.000000,0.375208,0.025000,0.359188
2000,50,0.05,64,1.6,2,0.349074,1.8200,5,1,42,1.000000,6.189782,0.045268,0.025000,0.020788
2000,50,0.05,64,1.6,2,0.349074,1.8200,5,2,42,0.671875,1.338564,0.100615,0.025000,0.077554
2000,50,0.05,64,1.6,2,0.349074,1.8200,5,3,42,0.125000,1.025068,0.247163,0.025000,0.227859
2000,50,0.05,64,1.6,2,0.349074,1.8200,5,4,42,0.046875,1.009413,0.399226,0.025000,0.383822
2000,50,0.05,64,1.6,2,0.349074,1.8200,5,5,42,0.046875,1.004185,0.584544,0.025000,0.573891
2000,50,0.05,64,1.6,2,0.349074,1.8200,5,1,43,1.000000,6.029977,0.047966,0.025000,0.023555
2000,50,0.05,64,1.6,2,0.349074,1.8200,5,2,43,0.453125,1.247226,0.132361,0.025000,0.110114
2000,50,0.05,64,1.6,2,0.349074,1.8200,5,3,43,0.140625,1.015263,0.318800,0.025000,0.301333
2000,50,0.05,64,1.6,2,0.349074,1.8200,5,4,43,0.000000,1.002978,0.460258,0.025000,0.446418
