n,k,p,M,alpha,T,beta,gain,depth,level,seed,acc,margin,spread,floor,Q
2000,50,0.05,32,0.8,2,0.224745,1.5000,5,1,42,1.000000,9.682254,0.027984,0.025000,0.003060
2000,50,0.05,32,0.8,2,0.224745,1.5000,5,2,42,1.000000,7.524479,0.028992,0.025000,0.004094
2000,50,0.05,32,0.8,2,0.224745,1.5000,5,3,42,1.000000,5.816369,0.029879,0.025000,0.005004
2000,50,0.05,32,0.8,2,0.224745,1.5000,5,4,42,1.000000,5.008209,0.026815,0.025000,0.001861
2000,50,0.05,32,0.8,2,0.224745,1.5000,5,5,42,1.000000,3.808780,0.029032,0.025000,0.004136
2000,50,0.05,32,0.8,2,0.224745,1.5000,5,1,43,1.000000,9.067187,0.030484,0.025000,0.005624
2000,50,0.05,32,0.8,2,0.224745,1.5000,5,2,43,1.000000,7.634189,0.029919,0.025000,0.005045
2000,50,0.05,32,0.8,2,0.224745,1.5000,5,3,43,1.000000,5.780915,0.033468,0.025000,0.008685
2000,50,0.05,32,0.8,2,0.224745,1.5000,5,4,43,1.000000,4.715774,0.029758,0.025000,0.004880
2000,50,0.05,32,0.8,2,0.224745,1.5000,5,5,43,1.000000,3.486797,0.029637,0.025000,0.004756
2000,50,0.05,32,0.8,2,0.224745,1.5000,5,1,44,1.000000,9.062426,0.028024,0.025000,0.003102
2000,50,0.05,32,0.8,2,0.224745,1.5000,5,2,44,1.000000,7.512810,0.029435,0.025000,0.004549
2000,50,0.05,32,0.8,2,0.224745,1.5000,5,3,44,1.000000,6.177964,0.030161,0.025000,0.005294
2000,50,0.05,32,0.8,2,0.224745,1.5000,5,4,44,1.000000,5.512923,0.029274,0.025000,0.004384
2000,50,0.05,32,0.8,2,0.224745,1.5000,5,5,44,1.000000,4.322173,0.029879,0.025000,0.005004
2000,50,0.05,32,0.8,2,0.284523,1.6500,5,1,42,1.000000,9.561458,0.032298,0.025000,0.007486
2000,50,0.05,32,0.8,2,0.284523,1.6500,5,2,42,1.000000,7.261644,0.033992,0.025000,0.009222
2000,50,0.05,32,0.8,2,0.284523,1.6500,5,3,42,1.000000,5.000000,0.040363,0.025000,0.015757
2000,50,0.05,32,0.8,2,0.284523,1.6500,5,4,42,1.000000,3.402220,0.041129,0.025000,0.016543
2000,50,0.05,32,0.8,2,0.284523,1.6500,5,5,42,0.937500,2.124260,0.050202,0.025000,0.025848
2000,50,0.05,32,0.8,2,0.284523,1.6500,5,1,43,1.000000,9.750347,0.030847,0.025000,0.005997
2000,50,0.05,32,0.8,2,0.284523,1.6500,5,2,43,1.000000,7.232196,0.034274,0.025000,0.009512
2000,50,0.05,32,0.8,2,0.284523,1.6500,5,3,43,1.000000,5.401797,0.039879,0.025000,0.015261
2000,50,0.05,32,0.8,2,0.284523,1.6500,5,4,43,1.000000,3.919284,0.044677,0.025000,0.020182
