
  SWEEP gain_x_alpha   112 configs x 2 seeds
  96 to run, 128 already done -> F:\Github\assemblies\research\experiments\sweep.csv

  [  1/96] n=4000 M=96 p=0.05 D=5 g=1.08 s=42  acc=0.052 marg=  1.21  [18s, eta 28m]
  [  2/96] n=4000 M=96 p=0.05 D=5 g=1.08 s=43  acc=0.031 marg=  1.21  [15s, eta 26m]
  [  3/96] n=4000 M=96 p=0.05 D=5 g=1.15 s=42  acc=0.115 marg=  1.24  [14s, eta 25m]
  [  4/96] n=4000 M=96 p=0.05 D=5 g=1.15 s=43  acc=0.062 marg=  1.15  [15s, eta 24m]
  [  5/96] n=4000 M=96 p=0.05 D=5 g=1.22 s=42  acc=0.156 marg=  1.28  [17s, eta 24m]
  [  6/96] n=4000 M=96 p=0.05 D=5 g=1.22 s=43  acc=0.198 marg=  1.23  [20s, eta 25m]
  [  7/96] n=4000 M=96 p=0.05 D=5 g=1.30 s=42  acc=0.417 marg=  1.56  [17s, eta 25m]
  [  8/96] n=4000 M=96 p=0.05 D=5 g=1.30 s=43  acc=0.396 marg=  1.52  [15s, eta 24m]
  [  9/96] n=4000 M=96 p=0.05 D=5 g=1.40 s=42  acc=0.688 marg=  2.05  [18s, eta 24m]
  [ 10/96] n=4000 M=96 p=0.05 D=5 g=1.40 s=43  acc=0.729 marg=  1.98  [20s, eta 24m]
  [ 11/96] n=4000 M=96 p=0.05 D=5 g=1.50 s=42  acc=0.896 marg=  2.94  [18s, eta 24m]
  [ 12/96] n=4000 M=96 p=0.05 D=5 g=1.50 s=43  acc=0.938 marg=  3.10  [16s, eta 24m]
  [ 13/96] n=4000 M=96 p=0.05 D=5 g=1.60 s=42  acc=0.969 marg=  3.63  [21s, eta 24m]
  [ 14/96] n=4000 M=96 p=0.05 D=5 g=1.60 s=43  acc=0.854 marg=  3.20  [15s, eta 23m]
  [ 15/96] n=4000 M=96 p=0.05 D=5 g=1.70 s=42  acc=0.604 marg=  1.72  [13s, eta 23m]
  [ 16/96] n=4000 M=96 p=0.05 D=5 g=1.70 s=43  acc=0.188 marg=  1.28  [12s, eta 22m]
  [ 17/96] n=4000 M=96 p=0.05 D=5 g=1.78 s=42  acc=0.062 marg=  1.04  [15s, eta 22m]
