########## gain_x_depth ##########

  SWEEP gain_x_depth   25 configs x 2 seeds
  50 to run, 0 already done -> F:\Github\assemblies\research\experiments\sweep.csv

  [  1/50] n=4000 M=64 p=0.05 D=2 g=1.50 s=42  acc=1.000 marg= 10.36  [9s, eta 7m]
  [  2/50] n=4000 M=64 p=0.05 D=2 g=1.50 s=43  acc=1.000 marg= 10.47  [7s, eta 7m]
  [  3/50] n=4000 M=64 p=0.05 D=2 g=1.70 s=42  acc=1.000 marg= 10.57  [9s, eta 7m]
  [  4/50] n=4000 M=64 p=0.05 D=2 g=1.70 s=43  acc=1.000 marg= 12.13  [5s, eta 6m]
  [  5/50] n=4000 M=64 p=0.05 D=2 g=1.84 s=42  acc=1.000 marg= 10.38  [5s, eta 5m]
  [  6/50] n=4000 M=64 p=0.05 D=2 g=1.84 s=43  acc=1.000 marg= 11.12  [6s, eta 5m]
  [  7/50] n=4000 M=64 p=0.05 D=2 g=1.96 s=42  acc=1.000 marg= 10.26  [6s, eta 5m]
  [  8/50] n=4000 M=64 p=0.05 D=2 g=1.96 s=43  acc=1.000 marg= 10.54  [5s, eta 5m]
  [  9/50] n=4000 M=64 p=0.05 D=2 g=2.10 s=42  acc=1.000 marg=  7.69  [4s, eta 4m]
  [ 10/50] n=4000 M=64 p=0.05 D=2 g=2.10 s=43  acc=1.000 marg=  9.71  [4s, eta 4m]
  [ 11/50] n=4000 M=64 p=0.05 D=3 g=1.50 s=42  acc=1.000 marg=  8.75  [7s, eta 4m]
  [ 12/50] n=4000 M=64 p=0.05 D=3 g=1.50 s=43  acc=1.000 marg=  9.01  [6s, eta 4m]
  [ 13/50] n=4000 M=64 p=0.05 D=3 g=1.70 s=42  acc=1.000 marg=  9.16  [7s, eta 4m]
  [ 14/50] n=4000 M=64 p=0.05 D=3 g=1.70 s=43  acc=1.000 marg=  9.95  [9s, eta 4m]
  [ 15/50] n=4000 M=64 p=0.05 D=3 g=1.84 s=42  acc=1.000 marg=  9.12  [9s, eta 4m]
  [ 16/50] n=4000 M=64 p=0.05 D=3 g=1.84 s=43  acc=1.000 marg=  9.43  [8s, eta 4m]
  [ 17/50] n=4000 M=64 p=0.05 D=3 g=1.96 s=42  acc=1.000 marg=  7.55  [8s, eta 4m]
  [ 18/50] n=4000 M=64 p=0.05 D=3 g=1.96 s=43  acc=1.000 marg=  7.78  [9s, eta 4m]
  [ 19/50] n=4000 M=64 p=0.05 D=3 g=2.10 s=42  acc=1.000 marg=  4.22  [7s, eta 4m]
  [ 20/50] n=4000 M=64 p=0.05 D=3 g=2.10 s=43  acc=0.969 marg=  3.74  [7s, eta 3m]
  [ 21/50] n=4000 M=64 p=0.05 D=4 g=1.50 s=42  acc=1.000 marg=  6.75  [14s, eta 3m]
  [ 22/50] n=4000 M=64 p=0.05 D=4 g=1.50 s=43  acc=1.000 marg=  7.14  [12s, eta 3m]
  [ 23/50] n=4000 M=64 p=0.05 D=4 g=1.70 s=42  acc=1.000 marg=  8.98  [15s, eta 3m]
  [ 24/50] n=4000 M=64 p=0.05 D=4 g=1.70 s=43  acc=1.000 marg=  8.55  [15s, eta 3m]
  [ 25/50] n=4000 M=64 p=0.05 D=4 g=1.84 s=42  acc=1.000 marg=  6.69  [15s, eta 3m]
  [ 26/50] n=4000 M=64 p=0.05 D=4 g=1.84 s=43  acc=1.000 marg=  7.39  [12s, eta 3m]
  [ 27/50] n=4000 M=64 p=0.05 D=4 g=1.96 s=42  acc=1.000 marg=  3.98  [10s, eta 3m]
  [ 28/50] n=4000 M=64 p=0.05 D=4 g=1.96 s=43  acc=0.469 marg=  1.45  [11s, eta 3m]
  [ 29/50] n=4000 M=64 p=0.05 D=4 g=2.10 s=42  acc=0.219 marg=  1.18  [9s, eta 3m]
  [ 30/50] n=4000 M=64 p=0.05 D=4 g=2.10 s=43  acc=0.141 marg=  1.05  [9s, eta 3m]
  [ 31/50] n=4000 M=64 p=0.05 D=5 g=1.50 s=42  acc=1.000 marg=  5.23  [19s, eta 3m]
  [ 32/50] n=4000 M=64 p=0.05 D=5 g=1.50 s=43  acc=1.000 marg=  5.20  [17s, eta 3m]
  [ 33/50] n=4000 M=64 p=0.05 D=5 g=1.70 s=42  acc=1.000 marg=  7.29  [13s, eta 3m]
  [ 34/50] n=4000 M=64 p=0.05 D=5 g=1.70 s=43  acc=1.000 marg=  7.24  [15s, eta 3m]
  [ 35/50] n=4000 M=64 p=0.05 D=5 g=1.84 s=42  acc=1.000 marg=  6.31  [12s, eta 2m]
  [ 36/50] n=4000 M=64 p=0.05 D=5 g=1.84 s=43  acc=0.969 marg=  3.66  [12s, eta 2m]
  [ 37/50] n=4000 M=64 p=0.05 D=5 g=1.96 s=42  acc=0.172 marg=  1.18  [15s, eta 2m]
  [ 38/50] n=4000 M=64 p=0.05 D=5 g=1.96 s=43  acc=0.156 marg=  1.19  [16s, eta 2m]
  [ 39/50] n=4000 M=64 p=0.05 D=5 g=2.10 s=42  acc=0.078 marg=  1.01  [15s, eta 2m]
  [ 40/50] n=4000 M=64 p=0.05 D=5 g=2.10 s=43  acc=0.109 marg=  1.01  [12s, eta 2m]
  [ 41/50] n=4000 M=64 p=0.05 D=6 g=1.50 s=42  acc=0.938 marg=  3.43  [17s, eta 2m]
  [ 42/50] n=4000 M=64 p=0.05 D=6 g=1.50 s=43  acc=0.969 marg=  3.35  [15s, eta 1m]
  [ 43/50] n=4000 M=64 p=0.05 D=6 g=1.70 s=42  acc=1.000 marg=  6.91  [17s, eta 1m]
  [ 44/50] n=4000 M=64 p=0.05 D=6 g=1.70 s=43  acc=1.000 marg=  6.11  [15s, eta 1m]
  [ 45/50] n=4000 M=64 p=0.05 D=6 g=1.84 s=42  acc=0.078 marg=  1.22  [17s, eta 1m]
  [ 46/50] n=4000 M=64 p=0.05 D=6 g=1.84 s=43  acc=0.859 marg=  3.22  [18s, eta 1m]
  [ 47/50] n=4000 M=64 p=0.05 D=6 g=1.96 s=42  acc=0.016 marg=  1.01  [16s, eta 1m]
  [ 48/50] n=4000 M=64 p=0.05 D=6 g=1.96 s=43  acc=0.016 marg=  1.00  [23s, eta 0m]
