cut,n,k,p,M,T,gain,zipf_s,seed,depth,level,acc,acc_head,acc_tail,distinct_frac,pres_head,pres_tail
zipf,4000,50,0.05,64,2,1.2200,0.00,42,1,1,1.000000,1.000000,1.000000,1.000000,1,1
zipf,4000,50,0.05,64,2,1.2200,0.00,43,1,1,0.984375,1.000000,0.952381,1.000000,1,1
zipf,4000,50,0.05,64,2,1.2200,0.00,44,1,1,0.968750,0.952381,1.000000,1.000000,1,1
zipf,4000,50,0.05,64,2,1.2200,0.00,45,1,1,0.968750,0.952381,1.000000,1.000000,1,1
zipf,4000,50,0.05,64,2,1.4000,0.00,42,1,1,1.000000,1.000000,1.000000,1.000000,1,1
zipf,4000,50,0.05,64,2,1.4000,0.00,43,1,1,1.000000,1.000000,1.000000,1.000000,1,1
zipf,4000,50,0.05,64,2,1.4000,0.00,44,1,1,1.000000,1.000000,1.000000,1.000000,1,1
zipf,4000,50,0.05,64,2,1.4000,0.00,45,1,1,1.000000,1.000000,1.000000,1.000000,1,1
zipf,4000,50,0.05,64,2,1.6000,0.00,42,1,1,1.000000,1.000000,1.000000,1.000000,1,1
zipf,4000,50,0.05,64,2,1.6000,0.00,43,1,1,1.000000,1.000000,1.000000,1.000000,1,1
zipf,4000,50,0.05,64,2,1.6000,0.00,44,1,1,1.000000,1.000000,1.000000,1.000000,1,1
zipf,4000,50,0.05,64,2,1.6000,0.00,45,1,1,1.000000,1.000000,1.000000,1.000000,1,1
zipf,4000,50,0.05,64,2,1.7800,0.00,42,1,1,1.000000,1.000000,1.000000,1.000000,1,1
zipf,4000,50,0.05,64,2,1.7800,0.00,43,1,1,1.000000,1.000000,1.000000,1.000000,1,1
zipf,4000,50,0.05,64,2,1.7800,0.00,44,1,1,1.000000,1.000000,1.000000,1.000000,1,1
zipf,4000,50,0.05,64,2,1.7800,0.00,45,1,1,1.000000,1.000000,1.000000,1.000000,1,1
zipf,4000,50,0.05,64,2,1.9600,0.00,42,1,1,1.000000,1.000000,1.000000,1.000000,1,1
zipf,4000,50,0.05,64,2,1.9600,0.00,43,1,1,1.000000,1.000000,1.000000,1.000000,1,1
zipf,4000,50,0.05,64,2,1.9600,0.00,44,1,1,1.000000,1.000000,1.000000,1.000000,1,1
zipf,4000,50,0.05,64,2,1.9600,0.00,45,1,1,1.000000,1.000000,1.000000,1.000000,1,1
zipf,4000,50,0.05,64,2,1.2200,0.30,42,1,1,0.984375,0.952381,1.000000,1.000000,3,1
zipf,4000,50,0.05,64,2,1.2200,0.30,43,1,1,0.953125,0.952381,0.952381,1.000000,3,1
zipf,4000,50,0.05,64,2,1.2200,0.30,44,1,1,0.968750,1.000000,0.952381,1.000000,3,1
zipf,4000,50,0.05,64,2,1.2200,0.30,45,1,1,0.984375,1.000000,1.000000,1.000000,3,1
zipf,4000,50,0.05,64,2,1.4000,0.30,42,1,1,0.968750,0.904762,1.000000,1.000000,3,1
zipf,4000,50,0.05,64,2,1.4000,0.30,43,1,1,0.984375,1.000000,0.952381,1.000000,3,1
zipf,4000,50,0.05,64,2,1.4000,0.30,44,1,1,1.000000,1.000000,1.000000,1.000000,3,1
zipf,4000,50,0.05,64,2,1.4000,0.30,45,1,1,1.000000,1.000000,1.000000,1.000000,3,1
zipf,4000,50,0.05,64,2,1.6000,0.30,42,1,1,0.640625,0.761905,0.619048,1.000000,3,1
zipf,4000,50,0.05,64,2,1.6000,0.30,43,1,1,0.453125,0.333333,0.619048,1.000000,3,1
zipf,4000,50,0.05,64,2,1.6000,0.30,44,1,1,0.750000,0.904762,0.571429,1.000000,3,1
zipf,4000,50,0.05,64,2,1.6000,0.30,45,1,1,0.921875,0.857143,0.904762,1.000000,3,1
zipf,4000,50,0.05,64,2,1.7800,0.30,42,1,1,0.390625,0.380952,0.476190,1.000000,3,1
zipf,4000,50,0.05,64,2,1.7800,0.30,43,1,1,0.218750,0.238095,0.238095,0.968750,3,1
zipf,4000,50,0.05,64,2,1.7800,0.30,44,1,1,0.359375,0.333333,0.285714,1.000000,3,1
zipf,4000,50,0.05,64,2,1.7800,0.30,45,1,1,0.515625,0.666667,0.285714,1.000000,3,1
zipf,4000,50,0.05,64,2,1.9600,0.30,42,1,1,0.296875,0.380952,0.380952,1.000000,3,1
zipf,4000,50,0.05,64,2,1.9600,0.30,43,1,1,0.062500,0.095238,0.047619,0.546875,3,1
zipf,4000,50,0.05,64,2,1.9600,0.30,44,1,1,0.265625,0.333333,0.238095,1.000000,3,1
zipf,4000,50,0.05,64,2,1.9600,0.30,45,1,1,0.390625,0.619048,0.047619,1.000000,3,1
zipf,4000,50,0.05,64,2,1.2200,0.60,42,1,1,0.750000,0.714286,0.666667,1.000000,6,1
zipf,4000,50,0.05,64,2,1.2200,0.60,43,1,1,0.609375,0.666667,0.571429,1.000000,6,1
zipf,4000,50,0.05,64,2,1.2200,0.60,44,1,1,0.843750,0.952381,0.857143,1.000000,6,1
zipf,4000,50,0.05,64,2,1.2200,0.60,45,1,1,0.875000,0.857143,0.904762,1.000000,6,1
zipf,4000,50,0.05,64,2,1.4000,0.60,42,1,1,0.312500,0.380952,0.238095,0.812500,6,1
zipf,4000,50,0.05,64,2,1.4000,0.60,43,1,1,0.109375,0.190476,0.095238,0.421875,6,1
zipf,4000,50,0.05,64,2,1.4000,0.60,44,1,1,0.265625,0.380952,0.142857,1.000000,6,1
zipf,4000,50,0.05,64,2,1.4000,0.60,45,1,1,0.171875,0.238095,0.095238,1.000000,6,1
