
  ZIPFIAN CORPUS   n=4000 k=50 M=64 p=0.05 total presentations=64
  4 skews x 5 gains x 4 seeds

      s   gain    acc   head   tail    h-t  distinct   pres h/t
   0.00   1.22  0.980  0.976  0.988 -0.012     1.000     1/1    [26s]
   0.00   1.40  1.000  1.000  1.000 +0.000     1.000     1/1    [24s]
   0.00   1.60  1.000  1.000  1.000 +0.000     1.000     1/1    [22s]
   0.00   1.78  1.000  1.000  1.000 +0.000     1.000     1/1    [22s]
   0.00   1.96  1.000  1.000  1.000 +0.000     1.000     1/1    [24s]

   0.30   1.22  0.973  0.976  0.976 +0.000     1.000     3/1    [22s]
   0.30   1.40  0.988  0.976  0.988 -0.012     1.000     3/1    [22s]
   0.30   1.60  0.691  0.714  0.679 +0.036     1.000     3/1    [21s]
   0.30   1.78  0.371  0.405  0.321 +0.083     0.992     3/1    [21s]
   0.30   1.96  0.254  0.357  0.179 +0.179     0.887     3/1    [20s]

   0.60   1.22  0.770  0.798  0.750 +0.048     1.000     6/1    [24s]
   0.60   1.40  0.215  0.298  0.143 +0.155     0.809     6/1    [21s]
   0.60   1.60  0.129  0.167  0.095 +0.071     0.734     6/1    [20s]
   0.60   1.78  0.133  0.238  0.107 +0.131     0.809     6/1    [21s]
   0.60   1.96  0.117  0.226  0.060 +0.167     0.754     6/1    [21s]

   1.00   1.22  0.152  0.214  0.119 +0.095     0.688    13/1    [38s]
   1.00   1.40  0.141  0.179  0.119 +0.060     0.781    13/1    [32s]
   1.00   1.60  0.082  0.167  0.036 +0.131     0.738    13/1    [22s]
   1.00   1.78  0.109  0.214  0.036 +0.179     0.676    13/1    [25s]
   1.00   1.96  0.105  0.202  0.048 +0.155     0.637    13/1    [28s]

  wrote F:\Github\assemblies\research\experiments\zipf_gain.csv
