
  ZIPFIAN CORPUS   n=4000 k=50 M=64 p=0.05 total presentations=64
  3 skews x 3 gains x 3 seeds

      s   gain    acc   head   tail    h-t  distinct   pres h/t
   0.00   1.22  0.974  0.984  0.952 +0.032     1.000     1/1    [59s]
   0.00   1.40  1.000  1.000  1.000 +0.000     1.000     1/1    [80s]
   0.00   1.78  1.000  1.000  1.000 +0.000     1.000     1/1    [64s]

   0.60   1.22  0.938  0.952  0.921 +0.032     1.000     6/1    [62s]
   0.60   1.40  0.552  0.635  0.524 +0.111     1.000     6/1    [65s]
   0.60   1.78  0.365  0.381  0.333 +0.048     0.812     6/1    [56s]

   1.00   1.22  0.391  0.381  0.317 +0.063     0.922    13/1    [35s]
   1.00   1.40  0.385  0.397  0.365 +0.032     0.786    13/1    [31s]
   1.00   1.78  0.250  0.286  0.222 +0.063     0.849    13/1    [35s]

  wrote F:\Github\assemblies\research\experiments\zipf_scaled.csv
