
  SWEEP gain_x_alpha   44 configs x 2 seeds
  88 to run, 0 already done -> F:\Github\assemblies\research\experiments\sweep.csv

  [  1/88] n=4000 M=32 p=0.05 D=5 g=1.50 s=42  acc=1.000 marg=  7.11  [13s, eta 19m]
  [  2/88] n=4000 M=32 p=0.05 D=5 g=1.50 s=43  acc=1.000 marg=  8.53  [9s, eta 16m]
  [  3/88] n=4000 M=32 p=0.05 D=5 g=1.60 s=42  acc=1.000 marg=  9.62  [7s, eta 14m]
  [  4/88] n=4000 M=32 p=0.05 D=5 g=1.60 s=43  acc=1.000 marg=  9.14  [5s, eta 12m]
  [  5/88] n=4000 M=32 p=0.05 D=5 g=1.70 s=42  acc=1.000 marg=  9.51  [5s, eta 11m]
  [  6/88] n=4000 M=32 p=0.05 D=5 g=1.70 s=43  acc=1.000 marg=  9.88  [5s, eta 10m]
  [  7/88] n=4000 M=32 p=0.05 D=5 g=1.78 s=42  acc=1.000 marg=  9.86  [5s, eta 9m]
  [  8/88] n=4000 M=32 p=0.05 D=5 g=1.78 s=43  acc=1.000 marg= 10.69  [5s, eta 9m]
  [  9/88] n=4000 M=32 p=0.05 D=5 g=1.84 s=42  acc=1.000 marg= 10.29  [5s, eta 9m]
  [ 10/88] n=4000 M=32 p=0.05 D=5 g=1.84 s=43  acc=1.000 marg=  9.51  [5s, eta 8m]
  [ 11/88] n=4000 M=32 p=0.05 D=5 g=1.90 s=42  acc=1.000 marg=  9.60  [5s, eta 8m]
  [ 12/88] n=4000 M=32 p=0.05 D=5 g=1.90 s=43  acc=1.000 marg=  9.34  [4s, eta 8m]
  [ 13/88] n=4000 M=32 p=0.05 D=5 g=1.96 s=42  acc=1.000 marg=  9.03  [4s, eta 7m]
  [ 14/88] n=4000 M=32 p=0.05 D=5 g=1.96 s=43  acc=1.000 marg=  8.64  [4s, eta 7m]
  [ 15/88] n=4000 M=32 p=0.05 D=5 g=2.02 s=42  acc=1.000 marg=  8.80  [4s, eta 7m]
  [ 16/88] n=4000 M=32 p=0.05 D=5 g=2.02 s=43  acc=1.000 marg=  9.47  [4s, eta 7m]
  [ 17/88] n=4000 M=32 p=0.05 D=5 g=2.10 s=42  acc=0.969 marg=  5.10  [5s, eta 7m]
  [ 18/88] n=4000 M=32 p=0.05 D=5 g=2.10 s=43  acc=0.969 marg=  5.55  [6s, eta 6m]
  [ 19/88] n=4000 M=32 p=0.05 D=5 g=2.20 s=42  acc=0.969 marg=  4.58  [6s, eta 6m]
  [ 20/88] n=4000 M=32 p=0.05 D=5 g=2.20 s=43  acc=1.000 marg=  4.92  [5s, eta 6m]
  [ 21/88] n=4000 M=32 p=0.05 D=5 g=2.35 s=42  acc=0.969 marg=  3.04  [5s, eta 6m]
  [ 22/88] n=4000 M=32 p=0.05 D=5 g=2.35 s=43  acc=0.406 marg=  1.71  [5s, eta 6m]
  [ 23/88] n=4000 M=64 p=0.05 D=5 g=1.50 s=42  acc=1.000 marg=  5.23  [14s, eta 6m]
  [ 24/88] n=4000 M=64 p=0.05 D=5 g=1.50 s=43  acc=1.000 marg=  5.20  [18s, eta 7m]
  [ 25/88] n=4000 M=64 p=0.05 D=5 g=1.60 s=42  acc=1.000 marg=  6.46  [19s, eta 7m]
  [ 26/88] n=4000 M=64 p=0.05 D=5 g=1.60 s=43  acc=1.000 marg=  6.74  [15s, eta 7m]
  [ 27/88] n=4000 M=64 p=0.05 D=5 g=1.70 s=42  acc=1.000 marg=  7.29  [13s, eta 8m]
  [ 28/88] n=4000 M=64 p=0.05 D=5 g=1.70 s=43  acc=1.000 marg=  7.24  [11s, eta 8m]
  [ 29/88] n=4000 M=64 p=0.05 D=5 g=1.78 s=42  acc=1.000 marg=  6.24  [15s, eta 8m]
  [ 30/88] n=4000 M=64 p=0.05 D=5 g=1.78 s=43  acc=1.000 marg=  6.42  [16s, eta 8m]
  [ 31/88] n=4000 M=64 p=0.05 D=5 g=1.84 s=42  acc=1.000 marg=  6.31  [16s, eta 8m]
  [ 32/88] n=4000 M=64 p=0.05 D=5 g=1.84 s=43  acc=0.969 marg=  3.66  [14s, eta 8m]
  [ 33/88] n=4000 M=64 p=0.05 D=5 g=1.90 s=42  acc=0.609 marg=  2.67  [17s, eta 8m]
  [ 34/88] n=4000 M=64 p=0.05 D=5 g=1.90 s=43  acc=0.219 marg=  1.33  [19s, eta 8m]
  [ 35/88] n=4000 M=64 p=0.05 D=5 g=1.96 s=42  acc=0.172 marg=  1.18  [20s, eta 8m]
  [ 36/88] n=4000 M=64 p=0.05 D=5 g=1.96 s=43  acc=0.156 marg=  1.19  [20s, eta 8m]
  [ 37/88] n=4000 M=64 p=0.05 D=5 g=2.02 s=42  acc=0.172 marg=  1.10  [14s, eta 8m]
  [ 38/88] n=4000 M=64 p=0.05 D=5 g=2.02 s=43  acc=0.062 marg=  1.01  [14s, eta 8m]
  [ 39/88] n=4000 M=64 p=0.05 D=5 g=2.10 s=42  acc=0.078 marg=  1.01  [11s, eta 8m]
  [ 40/88] n=4000 M=64 p=0.05 D=5 g=2.10 s=43  acc=0.109 marg=  1.01  [13s, eta 8m]
  [ 41/88] n=4000 M=64 p=0.05 D=5 g=2.20 s=42  acc=0.125 marg=  1.02  [18s, eta 8m]
  [ 42/88] n=4000 M=64 p=0.05 D=5 g=2.20 s=43  acc=0.047 marg=  1.01  [15s, eta 8m]
  [ 43/88] n=4000 M=64 p=0.05 D=5 g=2.35 s=42  acc=0.078 marg=  1.01  [11s, eta 8m]
  [ 44/88] n=4000 M=64 p=0.05 D=5 g=2.35 s=43  acc=0.078 marg=  1.01  [13s, eta 8m]
  [ 45/88] n=4000 M=128 p=0.05 D=5 g=1.50 s=42  acc=0.727 marg=  1.99  [28s, eta 8m]
  [ 46/88] n=4000 M=128 p=0.05 D=5 g=1.50 s=43  acc=0.672 marg=  1.92  [37s, eta 8m]
  [ 47/88] n=4000 M=128 p=0.05 D=5 g=1.60 s=42  acc=0.094 marg=  1.13  [33s, eta 8m]
  [ 48/88] n=4000 M=128 p=0.05 D=5 g=1.60 s=43  acc=0.078 marg=  1.08  [27s, eta 8m]
  [ 49/88] n=4000 M=128 p=0.05 D=5 g=1.70 s=42  acc=0.008 marg=  1.01  [28s, eta 8m]
  [ 50/88] n=4000 M=128 p=0.05 D=5 g=1.70 s=43  acc=0.039 marg=  1.02  [31s, eta 8m]
  [ 51/88] n=4000 M=128 p=0.05 D=5 g=1.78 s=42  acc=0.000 marg=  1.01  [34s, eta 8m]
  [ 52/88] n=4000 M=128 p=0.05 D=5 g=1.78 s=43  acc=0.023 marg=  1.01  [39s, eta 8m]
  [ 53/88] n=4000 M=128 p=0.05 D=5 g=1.84 s=42  acc=0.016 marg=  1.01  [35s, eta 8m]
  [ 54/88] n=4000 M=128 p=0.05 D=5 g=1.84 s=43  acc=0.023 marg=  1.01  [37s, eta 8m]
  [ 55/88] n=4000 M=128 p=0.05 D=5 g=1.90 s=42  acc=0.031 marg=  1.00  [40s, eta 8m]
  [ 56/88] n=4000 M=128 p=0.05 D=5 g=1.90 s=43  acc=0.023 marg=  1.00  [34s, eta 8m]
  [ 57/88] n=4000 M=128 p=0.05 D=5 g=1.96 s=42  acc=0.055 marg=  1.01  [34s, eta 8m]
  [ 58/88] n=4000 M=128 p=0.05 D=5 g=1.96 s=43  acc=0.000 marg=  1.01  [30s, eta 8m]
  [ 59/88] n=4000 M=128 p=0.05 D=5 g=2.02 s=42  acc=0.070 marg=  1.01  [26s, eta 8m]
  [ 60/88] n=4000 M=128 p=0.05 D=5 g=2.02 s=43  acc=0.016 marg=  1.01  [27s, eta 8m]
  [ 61/88] n=4000 M=128 p=0.05 D=5 g=2.10 s=42  acc=0.039 marg=  1.01  [30s, eta 7m]
  [ 62/88] n=4000 M=128 p=0.05 D=5 g=2.10 s=43  acc=0.023 marg=  1.01  [28s, eta 7m]
  [ 63/88] n=4000 M=128 p=0.05 D=5 g=2.20 s=42  acc=0.008 marg=  1.01  [25s, eta 7m]
  [ 64/88] n=4000 M=128 p=0.05 D=5 g=2.20 s=43  acc=0.008 marg=  1.00  [29s, eta 7m]
  [ 65/88] n=4000 M=128 p=0.05 D=5 g=2.35 s=42  acc=0.008 marg=  1.00  [26s, eta 7m]
  [ 66/88] n=4000 M=128 p=0.05 D=5 g=2.35 s=43  acc=0.039 marg=  1.00  [27s, eta 6m]
  [ 67/88] n=4000 M=256 p=0.05 D=5 g=1.50 s=42  acc=0.008 marg=  1.01  [84s, eta 6m]
  [ 68/88] n=4000 M=256 p=0.05 D=5 g=1.50 s=43  acc=0.016 marg=  1.01  [82s, eta 6m]
  [ 69/88] n=4000 M=256 p=0.05 D=5 g=1.60 s=42  acc=0.016 marg=  1.00  [73s, eta 6m]
  [ 70/88] n=4000 M=256 p=0.05 D=5 g=1.60 s=43  acc=0.020 marg=  1.01  [66s, eta 6m]
  [ 71/88] n=4000 M=256 p=0.05 D=5 g=1.70 s=42  acc=0.012 marg=  1.01  [62s, eta 6m]
  [ 72/88] n=4000 M=256 p=0.05 D=5 g=1.70 s=43  acc=0.008 marg=  1.01  [66s, eta 6m]
  [ 73/88] n=4000 M=256 p=0.05 D=5 g=1.78 s=42  acc=0.004 marg=  1.00  [66s, eta 6m]
  [ 74/88] n=4000 M=256 p=0.05 D=5 g=1.78 s=43  acc=0.008 marg=  1.00  [69s, eta 5m]
  [ 75/88] n=4000 M=256 p=0.05 D=5 g=1.84 s=42  acc=0.000 marg=  1.01  [67s, eta 5m]
  [ 76/88] n=4000 M=256 p=0.05 D=5 g=1.84 s=43  acc=0.008 marg=  1.00  [58s, eta 5m]
  [ 77/88] n=4000 M=256 p=0.05 D=5 g=1.90 s=42  acc=0.016 marg=  1.00  [63s, eta 5m]
  [ 78/88] n=4000 M=256 p=0.05 D=5 g=1.90 s=43  acc=0.016 marg=  1.01  [66s, eta 4m]
  [ 79/88] n=4000 M=256 p=0.05 D=5 g=1.96 s=42  acc=0.004 marg=  1.01  [65s, eta 4m]
  [ 80/88] n=4000 M=256 p=0.05 D=5 g=1.96 s=43  acc=0.004 marg=  1.01  [77s, eta 4m]
  [ 81/88] n=4000 M=256 p=0.05 D=5 g=2.02 s=42  acc=0.012 marg=  1.01  [63s, eta 3m]
  [ 82/88] n=4000 M=256 p=0.05 D=5 g=2.02 s=43  acc=0.004 marg=  1.00  [69s, eta 3m]
  [ 83/88] n=4000 M=256 p=0.05 D=5 g=2.10 s=42  acc=0.016 marg=  1.01  [67s, eta 2m]
  [ 84/88] n=4000 M=256 p=0.05 D=5 g=2.10 s=43  acc=0.012 marg=  1.01  [62s, eta 2m]
  [ 85/88] n=4000 M=256 p=0.05 D=5 g=2.20 s=42  acc=0.027 marg=  1.01  [61s, eta 1m]
  [ 86/88] n=4000 M=256 p=0.05 D=5 g=2.20 s=43  acc=0.000 marg=  1.00  [67s, eta 1m]
  [ 87/88] n=4000 M=256 p=0.05 D=5 g=2.35 s=42  acc=0.000 marg=  1.00  [48s, eta 0m]
  [ 88/88] n=4000 M=256 p=0.05 D=5 g=2.35 s=43  acc=0.020 marg=  1.01  [51s, eta 0m]

  done in 43.3 min
