
  SWEEP gain_x_alpha   112 configs x 3 seeds
  336 to run, 0 already done -> F:\Github\assemblies\research\experiments\sweep.csv

  [  1/336] n=4000 M=32 p=0.05 D=5 g=1.08 s=44  acc=0.750 marg=  2.20  [9s, eta 48m]
  [  2/336] n=4000 M=32 p=0.05 D=5 g=1.08 s=45  acc=0.656 marg=  1.94  [9s, eta 49m]
  [  3/336] n=4000 M=32 p=0.05 D=5 g=1.08 s=46  acc=0.781 marg=  1.70  [5s, eta 42m]
  [  4/336] n=4000 M=32 p=0.05 D=5 g=1.15 s=44  acc=0.906 marg=  3.22  [5s, eta 38m]
  [  5/336] n=4000 M=32 p=0.05 D=5 g=1.15 s=45  acc=0.844 marg=  3.00  [5s, eta 36m]
  [  6/336] n=4000 M=32 p=0.05 D=5 g=1.15 s=46  acc=0.938 marg=  2.87  [5s, eta 35m]
  [  7/336] n=4000 M=32 p=0.05 D=5 g=1.22 s=44  acc=0.938 marg=  3.83  [5s, eta 33m]
  [  8/336] n=4000 M=32 p=0.05 D=5 g=1.22 s=45  acc=0.938 marg=  3.67  [5s, eta 33m]
  [  9/336] n=4000 M=32 p=0.05 D=5 g=1.22 s=46  acc=1.000 marg=  3.18  [5s, eta 32m]
  [ 10/336] n=4000 M=32 p=0.05 D=5 g=1.30 s=44  acc=1.000 marg=  5.86  [6s, eta 32m]
  [ 11/336] n=4000 M=32 p=0.05 D=5 g=1.30 s=45  acc=1.000 marg=  3.90  [7s, eta 32m]
  [ 12/336] n=4000 M=32 p=0.05 D=5 g=1.30 s=46  acc=1.000 marg=  4.60  [6s, eta 32m]
  [ 13/336] n=4000 M=32 p=0.05 D=5 g=1.40 s=44  acc=1.000 marg=  6.55  [16s, eta 36m]
  [ 14/336] n=4000 M=32 p=0.05 D=5 g=1.40 s=45  acc=1.000 marg=  7.26  [8s, eta 36m]
  [ 15/336] n=4000 M=32 p=0.05 D=5 g=1.40 s=46  acc=1.000 marg=  6.83  [5s, eta 36m]
  [ 16/336] n=4000 M=32 p=0.05 D=5 g=1.50 s=44  acc=1.000 marg=  8.04  [5s, eta 35m]
  [ 17/336] n=4000 M=32 p=0.05 D=5 g=1.50 s=45  acc=1.000 marg=  7.83  [4s, eta 34m]
  [ 18/336] n=4000 M=32 p=0.05 D=5 g=1.50 s=46  acc=1.000 marg=  8.74  [5s, eta 33m]
