
  ZIPFIAN CORPUS   n=4000 k=50 M=64 p=0.05 total presentations=64
  4 skews x 7 gains x 4 seeds

      s   gain    acc   head   tail    h-t  distinct   pres h/t
   0.00   1.08  0.902  0.893  0.881 +0.012     1.000     1/1    [28s]
   0.00   1.22  0.980  0.976  0.988 -0.012     1.000     1/1    [19s]
   0.00   1.40  1.000  1.000  1.000 +0.000     1.000     1/1    [23s]
   0.00   1.60  1.000  1.000  1.000 +0.000     1.000     1/1    [27s]
   0.00   1.78  1.000  1.000  1.000 +0.000     1.000     1/1    [25s]
   0.00   1.96  1.000  1.000  1.000 +0.000     1.000     1/1    [27s]
   0.00   2.20  0.609  0.702  0.548 +0.155     1.000     1/1    [23s]

   0.70   1.08  0.926  0.929  0.905 +0.024     1.000     7/1    [29s]
   0.70   1.22  0.496  0.583  0.381 +0.202     1.000     7/1    [23s]
   0.70   1.40  0.219  0.298  0.143 +0.155     0.730     7/1    [22s]
   0.70   1.60  0.145  0.238  0.071 +0.167     0.812     7/1    [20s]
   0.70   1.78  0.129  0.226  0.060 +0.167     0.863     7/1    [17s]
   0.70   1.96  0.102  0.202  0.036 +0.167     0.750     7/1    [18s]
   0.70   2.20  0.148  0.214  0.095 +0.119     0.781     7/1    [18s]

   1.00   1.08  0.781  0.774  0.786 -0.012     1.000    13/1    [23s]
   1.00   1.22  0.160  0.238  0.131 +0.107     0.691    13/1    [24s]
   1.00   1.40  0.176  0.250  0.131 +0.119     0.797    13/1    [24s]
   1.00   1.60  0.102  0.214  0.048 +0.167     0.758    13/1    [19s]
   1.00   1.78  0.098  0.190  0.024 +0.167     0.684    13/1    [22s]
   1.00   1.96  0.062  0.131  0.024 +0.107     0.637    13/1    [21s]
   1.00   2.20  0.078  0.119  0.048 +0.071     0.617    13/1    [23s]

   1.30   1.08  0.281  0.345  0.238 +0.107     0.992    21/1    [47s]
   1.30   1.22  0.078  0.107  0.024 +0.083     0.688    21/1    [52s]
   1.30   1.40  0.074  0.107  0.048 +0.060     0.789    21/1    [71s]
   1.30   1.60  0.086  0.155  0.036 +0.119     0.660    21/1    [20s]
   1.30   1.78  0.035  0.083  0.000 +0.083     0.441    21/1    [14s]
   1.30   1.96  0.078  0.119  0.048 +0.071     0.520    21/1    [15s]
   1.30   2.20  0.070  0.107  0.060 +0.048     0.539    21/1    [16s]

  wrote F:\Github\assemblies-run-e2\research\experiments\zipf_gain.csv
EXIT=0
