seed,depth,holdout_pattern,wobbly_bootstrap,train_s,calibration_s,fork_s,n400_cohens_d,p600_cohens_d,p600_ready,holdout_acc,holdout_small_cat,wobble_rate,wobbly_episodes,cache_hit
42,TWO_WORD,balanced,False,3.659,0.713,0.478,0.0,0.0,True,0.6667,DET,1.0,1,True
42,TWO_WORD,balanced,True,3.659,0.713,0.311,0.0,0.0,True,0.6667,DET,1.0,1,True
42,TWO_WORD,subject_only,False,3.659,0.713,0.35,0.0,0.0,True,1.0,ADJ,1.0,2,True
42,TWO_WORD,subject_only,True,3.659,0.713,0.316,0.0,0.0,True,1.0,ADJ,1.0,2,True
42,TWO_WORD,object_only,False,3.659,0.713,0.395,0.0,0.0,True,0.6667,DET,1.0,2,True
42,TWO_WORD,object_only,True,3.659,0.713,0.296,0.0,0.0,True,0.6667,NOUN,1.0,2,True
43,TWO_WORD,balanced,False,3.534,0.725,0.313,0.0,0.0,True,0.6667,DET,1.0,2,True
43,TWO_WORD,balanced,True,3.534,0.725,0.375,0.0,0.0,True,1.0,ADJ,1.0,2,True
43,TWO_WORD,subject_only,False,3.534,0.725,0.325,0.0,0.0,True,1.0,ADJ,1.0,2,True
43,TWO_WORD,subject_only,True,3.534,0.725,0.307,0.0,0.0,True,1.0,ADJ,1.0,2,True
43,TWO_WORD,object_only,False,3.534,0.725,0.523,0.0,0.0,True,0.6667,DET,1.0,2,True
43,TWO_WORD,object_only,True,3.534,0.725,0.399,0.0,0.0,True,0.6667,NOUN,1.0,2,True
44,TWO_WORD,balanced,False,3.757,0.828,0.282,0.0,0.0,True,0.6667,DET,1.0,2,True
44,TWO_WORD,balanced,True,3.757,0.828,0.322,0.0,0.0,True,0.6667,NOUN,1.0,2,True
44,TWO_WORD,subject_only,False,3.757,0.828,0.371,0.0,0.0,True,1.0,ADJ,1.0,2,True
44,TWO_WORD,subject_only,True,3.757,0.828,0.275,0.0,0.0,True,1.0,ADJ,1.0,2,True
44,TWO_WORD,object_only,False,3.757,0.828,0.324,0.0,0.0,True,0.6667,DET,1.0,2,True
44,TWO_WORD,object_only,True,3.757,0.828,0.352,0.0,0.0,True,0.6667,NOUN,1.0,2,True
