seed,depth,holdout_pattern,wobbly_bootstrap,train_s,calibration_s,fork_s,n400_cohens_d,p600_cohens_d,p600_ready,holdout_acc,holdout_small_cat,wobble_rate,wobbly_episodes,cache_hit
42,TWO_WORD,balanced,False,4.089,1.076,0.499,0.0,0.0,True,0.6667,DET,1.0,2,True
42,TWO_WORD,balanced,True,4.089,1.076,0.342,0.0,0.0,True,0.6667,NOUN,1.0,2,True
42,TWO_WORD,subject_only,False,4.089,1.076,0.343,0.0,0.0,True,1.0,ADJ,1.0,2,True
42,TWO_WORD,subject_only,True,4.089,1.076,0.314,0.0,0.0,True,0.6667,NOUN,1.0,2,True
42,TWO_WORD,object_only,False,4.089,1.076,0.352,0.0,0.0,True,0.6667,DET,1.0,2,True
42,TWO_WORD,object_only,True,4.089,1.076,0.283,0.0,0.0,True,0.6667,NOUN,1.0,2,True
43,TWO_WORD,balanced,False,3.484,0.73,0.317,0.0,0.0,True,0.6667,DET,1.0,2,True
43,TWO_WORD,balanced,True,3.484,0.73,0.29,0.0,0.0,True,1.0,ADJ,1.0,2,True
43,TWO_WORD,subject_only,False,3.484,0.73,0.412,0.0,0.0,True,1.0,ADJ,1.0,2,True
43,TWO_WORD,subject_only,True,3.484,0.73,0.297,0.0,0.0,True,0.6667,NOUN,1.0,2,True
43,TWO_WORD,object_only,False,3.484,0.73,0.371,0.0,0.0,True,0.6667,DET,1.0,2,True
43,TWO_WORD,object_only,True,3.484,0.73,0.297,0.0,0.0,True,1.0,ADJ,1.0,2,True
44,TWO_WORD,balanced,False,3.516,0.722,0.319,0.0,0.0,True,0.6667,DET,1.0,2,True
44,TWO_WORD,balanced,True,3.516,0.722,0.276,0.0,0.0,True,0.6667,NOUN,1.0,2,True
44,TWO_WORD,subject_only,False,3.516,0.722,0.419,0.0,0.0,True,1.0,ADJ,1.0,2,True
44,TWO_WORD,subject_only,True,3.516,0.722,0.31,0.0,0.0,True,1.0,ADJ,1.0,2,True
44,TWO_WORD,object_only,False,3.516,0.722,0.329,0.0,0.0,True,0.6667,DET,1.0,2,True
44,TWO_WORD,object_only,True,3.516,0.722,0.348,0.0,0.0,True,0.6667,NOUN,1.0,2,True
